"rentdate","rentyear","volume"
"2019-05-21","2019","9426"
"2019-05-22","2019","9019"
"2019-05-23","2019","8247"
"2019-05-24","2019","7921"
"2019-05-25","2019","7747"
"2019-05-26","2019","7822"
"2019-05-27","2019","8247"
"2019-05-28","2019","4530"
"2019-05-29","2019","7600"
"2019-05-30","2019","8565"
"2019-05-31","2019","9454"
"2019-06-01","2019","7403"
"2019-06-02","2019","6950"
"2019-06-03","2019","9369"
"2019-06-04","2019","10059"
"2019-06-05","2019","10491"
"2019-06-06","2019","10033"
"2019-06-07","2019","10930"
"2019-06-08","2019","9625"
"2019-06-09","2019","8972"
"2019-06-10","2019","10109"
"2019-06-11","2019","8057"
"2019-06-12","2019","11814"
"2019-06-13","2019","4501"
"2019-06-14","2019","10455"
"2019-06-15","2019","9454"
"2019-06-16","2019","3651"
"2019-06-17","2019","10692"
"2019-06-18","2019","7965"
"2019-06-19","2019","11006"
"2019-06-20","2019","7074"
"2019-06-21","2019","8660"
"2019-06-22","2019","9753"
"2019-06-23","2019","9990"
"2019-06-24","2019","10677"
"2019-06-25","2019","8392"
"2019-06-26","2019","11469"
"2019-06-27","2019","11695"
"2019-06-28","2019","11164"
"2019-06-29","2019","7164"
"2019-06-30","2019","6448"
"2019-07-01","2019","10877"
"2019-07-02","2019","11236"
"2019-07-03","2019","10408"
"2019-07-04","2019","11110"
"2019-07-05","2019","8192"
"2019-07-06","2019","5399"
"2019-07-07","2019","9255"
"2019-07-08","2019","11189"
"2019-07-09","2019","11479"
"2019-07-10","2019","11189"
"2019-07-11","2019","11389"
"2019-07-12","2019","8798"
"2019-07-13","2019","9934"
"2019-07-14","2019","9434"
"2019-07-15","2019","11545"
"2019-07-16","2019","12201"
"2019-07-17","2019","9195"
"2019-07-18","2019","10161"
"2019-07-19","2019","11219"
"2019-07-20","2019","6790"
"2019-07-21","2019","7258"
"2019-07-22","2019","9540"
"2019-07-23","2019","7955"
"2019-07-24","2019","12860"
"2019-07-25","2019","13201"
"2019-07-26","2019","12439"
"2019-07-27","2019","10142"
"2019-07-28","2019","9093"
"2019-07-29","2019","11294"
"2019-07-30","2019","12042"
"2019-07-31","2019","10107"
"2019-08-01","2019","13053"
"2019-08-02","2019","12349"
"2019-08-03","2019","9496"
"2019-08-04","2019","9888"
"2019-08-05","2019","12317"
"2019-08-06","2019","12625"
"2019-08-07","2019","11122"
"2019-08-08","2019","11820"
"2019-08-09","2019","12000"
"2019-08-10","2019","11438"
"2019-08-11","2019","10038"
"2019-08-12","2019","11839"
"2019-08-13","2019","11214"
"2019-08-14","2019","12113"
"2019-08-15","2019","12205"
"2019-08-16","2019","11618"
"2019-08-17","2019","9317"
"2019-08-18","2019","8410"
"2019-08-19","2019","9471"
"2019-08-20","2019","11550"
"2019-08-21","2019","9569"
"2019-08-22","2019","11300"
"2019-08-23","2019","10829"
"2019-08-24","2019","10000"
"2019-08-25","2019","8339"
"2019-08-26","2019","10945"
"2019-08-27","2019","11847"
"2019-08-28","2019","7590"
"2019-08-29","2019","12081"
"2019-08-30","2019","11701"
"2019-08-31","2019","9359"
"2019-09-01","2019","9777"
"2019-09-02","2019","6894"
"2019-09-03","2019","13369"
"2019-09-04","2019","11836"
"2019-09-05","2019","13661"
"2019-09-06","2019","12888"
"2019-09-07","2019","9732"
"2019-09-08","2019","10742"
"2019-09-09","2019","13167"
"2019-09-10","2019","13109"
"2019-09-11","2019","13661"
"2019-09-12","2019","10592"
"2019-09-13","2019","13138"
"2019-09-14","2019","8742"
"2019-09-15","2019","10909"
"2019-09-16","2019","12878"
"2019-09-17","2019","13406"
"2019-09-18","2019","13286"
"2019-09-19","2019","13554"
"2019-09-20","2019","14282"
"2019-09-21","2019","12449"
"2019-09-22","2019","11335"
"2019-09-23","2019","13222"
"2019-09-24","2019","13427"
"2019-09-25","2019","13520"
"2019-09-26","2019","10935"
"2019-09-27","2019","14025"
"2019-09-28","2019","11963"
"2019-09-29","2019","10682"
"2019-09-30","2019","12004"
"2019-10-01","2019","12183"
"2019-10-02","2019","9071"
"2019-10-03","2019","11496"
"2019-10-04","2019","11767"
"2019-10-05","2019","9315"
"2019-10-06","2019","8632"
"2019-10-07","2019","11449"
"2019-10-08","2019","11403"
"2019-10-09","2019","9153"
"2019-10-10","2019","9473"
"2019-10-11","2019","5724"
"2019-10-12","2019","6744"
"2019-10-13","2019","9942"
"2019-10-14","2019","10029"
"2019-10-15","2019","11776"
"2019-10-16","2019","10933"
"2019-10-17","2019","9260"
"2019-10-18","2019","10988"
"2019-10-19","2019","10114"
"2019-10-20","2019","8994"
"2019-10-21","2019","11676"
"2019-10-22","2019","10609"
"2019-10-23","2019","10209"
"2019-10-24","2019","12187"
"2019-10-25","2019","11864"
"2019-10-26","2019","9726"
"2019-10-27","2019","2133"
"2019-10-28","2019","9058"
"2019-10-29","2019","10533"
"2019-10-30","2019","10321"
"2019-10-31","2019","8742"
"2019-11-01","2019","10509"
"2019-11-02","2019","8611"
"2019-11-03","2019","7211"
"2019-11-04","2019","9889"
"2019-11-05","2019","8253"
"2019-11-06","2019","10388"
"2019-11-07","2019","7658"
"2019-11-08","2019","6754"
"2019-11-09","2019","4880"
"2019-11-10","2019","5787"
"2019-11-11","2019","7829"
"2019-11-12","2019","6470"
"2019-11-13","2019","5917"
"2019-11-14","2019","7039"
"2019-11-15","2019","8436"
"2019-11-16","2019","4859"
"2019-11-17","2019","4012"
"2019-11-18","2019","4695"
"2019-11-19","2019","6163"
"2019-11-20","2019","5104"
"2019-11-21","2019","8404"
"2019-11-22","2019","6959"
"2019-11-23","2019","5472"
"2019-11-24","2019","1423"
"2019-11-25","2019","7897"
"2019-11-26","2019","8366"
"2019-11-27","2019","5589"
"2019-11-28","2019","1455"
"2019-11-29","2019","2551"
"2019-11-30","2019","2178"
"2019-12-01","2019","1755"
"2019-12-02","2019","1792"
"2019-12-03","2019","1688"
"2019-12-04","2019","4425"
"2019-12-05","2019","5769"
"2019-12-06","2019","4882"
"2019-12-07","2019","3265"
"2019-12-08","2019","2952"
"2019-12-09","2019","3340"
"2019-12-10","2019","5827"
"2019-12-11","2019","4032"
"2019-12-12","2019","5258"
"2019-12-13","2019","4971"
"2019-12-14","2019","2803"
"2019-12-15","2019","3225"
"2019-12-16","2019","5037"
"2019-12-17","2019","1887"
"2019-12-18","2019","4022"
"2019-12-19","2019","3004"
"2019-12-20","2019","2926"
"2019-12-21","2019","1663"
"2019-12-22","2019","1654"
"2019-12-23","2019","3099"
"2019-12-24","2019","1699"
"2019-12-25","2019","803"
"2019-12-26","2019","1837"
"2019-12-27","2019","2165"
"2019-12-28","2019","2155"
"2019-12-29","2019","1796"
"2019-12-30","2019","662"
"2019-12-31","2019","1816"
